company1Label,relationLabel,company2Label,relation,company1,company2
Johnson & Johnson,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q333718,http://www.wikidata.org/entity/Q219635
Morgan Stanley,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q334204,http://www.wikidata.org/entity/Q219635
PepsiCo,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q334800,http://www.wikidata.org/entity/Q219635
Caterpillar Inc.,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q459965,http://www.wikidata.org/entity/Q219635
Q483551,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q483551,http://www.wikidata.org/entity/Q219635
Bank of America,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q487907,http://www.wikidata.org/entity/Q219635
Costco,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q715583,http://www.wikidata.org/entity/Q219635
Wells Fargo,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q744149,http://www.wikidata.org/entity/Q219635
The Home Depot,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q864407,http://www.wikidata.org/entity/Q219635
Philip Morris International,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q1852556,http://www.wikidata.org/entity/Q219635
The Coca-Cola Company,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q3295867,http://www.wikidata.org/entity/Q219635
AbbVie,http://www.wikidata.org/prop/direct/P127,BlackRock,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q14662364,http://www.wikidata.org/entity/Q219635
Berkshire Hathaway,http://www.wikidata.org/prop/direct/P1830,American Express,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/entity/Q217583,http://www.wikidata.org/entity/Q194360
AbbVie,http://www.wikidata.org/prop/direct/P807,Abbott Laboratories,http://www.wikidata.org/prop/direct/P807,http://www.wikidata.org/entity/Q14662364,http://www.wikidata.org/entity/Q306764
Meta,http://www.wikidata.org/prop/direct/P1951,Goldman Sachs,http://www.wikidata.org/prop/direct/P1951,http://www.wikidata.org/entity/Q380,http://www.wikidata.org/entity/Q193326
Berkshire Hathaway,http://www.wikidata.org/prop/direct/P1830,Wells Fargo,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/entity/Q217583,http://www.wikidata.org/entity/Q744149
Berkshire Hathaway,http://www.wikidata.org/prop/direct/P1830,Q37156,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/entity/Q217583,http://www.wikidata.org/entity/Q37156
Berkshire Hathaway,http://www.wikidata.org/prop/direct/P1830,The Coca-Cola Company,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/entity/Q217583,http://www.wikidata.org/entity/Q3295867
Abbott Laboratories,http://www.wikidata.org/prop/direct/P156,AbbVie,http://www.wikidata.org/prop/direct/P156,http://www.wikidata.org/entity/Q306764,http://www.wikidata.org/entity/Q14662364
Morgan Stanley,http://www.wikidata.org/prop/direct/P1830,Netflix,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/entity/Q334204,http://www.wikidata.org/entity/Q907311
Q37156,http://www.wikidata.org/prop/direct/P127,Berkshire Hathaway,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q37156,http://www.wikidata.org/entity/Q217583
American Express,http://www.wikidata.org/prop/direct/P127,Berkshire Hathaway,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q194360,http://www.wikidata.org/entity/Q217583
Bank of America,http://www.wikidata.org/prop/direct/P127,Berkshire Hathaway,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q487907,http://www.wikidata.org/entity/Q217583
Wells Fargo,http://www.wikidata.org/prop/direct/P127,Berkshire Hathaway,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q744149,http://www.wikidata.org/entity/Q217583
The Coca-Cola Company,http://www.wikidata.org/prop/direct/P127,Berkshire Hathaway,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q3295867,http://www.wikidata.org/entity/Q217583
Apple Inc.,http://www.wikidata.org/prop/direct/P127,Berkshire Hathaway,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/entity/Q312,http://www.wikidata.org/entity/Q217583
