company1Label,p1Label,intermediateLabel,p2Label,company2Label,p1,p2,company1,company2
Cisco,http://www.wikidata.org/prop/direct/P361,Nasdaq-100,http://www.wikidata.org/prop/direct/P527,Broadcom Corporation,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q555925
Cisco,http://www.wikidata.org/prop/direct/P463,Alliance for Open Media,http://www.wikidata.org/prop/direct/P527,Broadcom Corporation,http://www.wikidata.org/prop/direct/P463,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q555925
ExxonMobil,http://www.wikidata.org/prop/direct/P361,S&P 500,http://www.wikidata.org/prop/direct/P527,Meta,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q156238,http://www.wikidata.org/entity/Q380
ExxonMobil,http://www.wikidata.org/prop/direct/P361,S&P 100,http://www.wikidata.org/prop/direct/P527,Meta,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q156238,http://www.wikidata.org/entity/Q380
ExxonMobil,http://www.wikidata.org/prop/direct/P127,The Vanguard Group,http://www.wikidata.org/prop/direct/P1830,Alphabet Inc.,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/entity/Q156238,http://www.wikidata.org/entity/Q20800404
Cisco,http://www.wikidata.org/prop/direct/P361,Nasdaq-100,http://www.wikidata.org/prop/direct/P527,Nvidia,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q182477
Cisco,http://www.wikidata.org/prop/direct/P463,Alliance for Open Media,http://www.wikidata.org/prop/direct/P527,Nvidia,http://www.wikidata.org/prop/direct/P463,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q182477
Cisco,http://www.wikidata.org/prop/direct/P361,Nasdaq-100,http://www.wikidata.org/prop/direct/P527,Amazon,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q3884
Cisco,http://www.wikidata.org/prop/direct/P463,Alliance for Open Media,http://www.wikidata.org/prop/direct/P112,Amazon,http://www.wikidata.org/prop/direct/P463,http://www.wikidata.org/prop/direct/P112,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q3884
Cisco,http://www.wikidata.org/prop/direct/P463,Alliance for Open Media,http://www.wikidata.org/prop/direct/P527,Amazon,http://www.wikidata.org/prop/direct/P463,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q3884
Cisco,http://www.wikidata.org/prop/direct/P361,Dow Jones Industrial Average,http://www.wikidata.org/prop/direct/P527,Apple Inc.,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q312
Cisco,http://www.wikidata.org/prop/direct/P361,Nasdaq-100,http://www.wikidata.org/prop/direct/P527,Apple Inc.,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q312
Cisco,http://www.wikidata.org/prop/direct/P463,Alliance for Open Media,http://www.wikidata.org/prop/direct/P527,Apple Inc.,http://www.wikidata.org/prop/direct/P463,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q312
Cisco,http://www.wikidata.org/prop/direct/P361,Nasdaq-100,http://www.wikidata.org/prop/direct/P527,"Tesla, Inc.",http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q478214
Cisco,http://www.wikidata.org/prop/direct/P361,S&P 500,http://www.wikidata.org/prop/direct/P527,Meta,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q380
Cisco,http://www.wikidata.org/prop/direct/P361,Nasdaq-100,http://www.wikidata.org/prop/direct/P527,Meta,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q380
Cisco,http://www.wikidata.org/prop/direct/P361,S&P 100,http://www.wikidata.org/prop/direct/P527,Meta,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q380
Cisco,http://www.wikidata.org/prop/direct/P463,Alliance for Open Media,http://www.wikidata.org/prop/direct/P527,Meta,http://www.wikidata.org/prop/direct/P463,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q380
Cisco,http://www.wikidata.org/prop/direct/P127,The Vanguard Group,http://www.wikidata.org/prop/direct/P1830,Amazon,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q3884
Cisco,http://www.wikidata.org/prop/direct/P127,The Vanguard Group,http://www.wikidata.org/prop/direct/P1830,Apple Inc.,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q312
Cisco,http://www.wikidata.org/prop/direct/P31,business,http://www.wikidata.org/prop/direct/P5869,Apple Inc.,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/prop/direct/P5869,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q312
ExxonMobil,http://www.wikidata.org/prop/direct/P361,Dow Jones Industrial Average,http://www.wikidata.org/prop/direct/P527,Apple Inc.,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q156238,http://www.wikidata.org/entity/Q312
ExxonMobil,http://www.wikidata.org/prop/direct/P127,The Vanguard Group,http://www.wikidata.org/prop/direct/P1830,Apple Inc.,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/entity/Q156238,http://www.wikidata.org/entity/Q312
ExxonMobil,http://www.wikidata.org/prop/direct/P31,business,http://www.wikidata.org/prop/direct/P5869,Apple Inc.,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/prop/direct/P5869,http://www.wikidata.org/entity/Q156238,http://www.wikidata.org/entity/Q312
Cisco,http://www.wikidata.org/prop/direct/P127,The Vanguard Group,http://www.wikidata.org/prop/direct/P1830,Microsoft,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q2283
ExxonMobil,http://www.wikidata.org/prop/direct/P127,The Vanguard Group,http://www.wikidata.org/prop/direct/P1830,Nvidia,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/entity/Q156238,http://www.wikidata.org/entity/Q182477
ExxonMobil,http://www.wikidata.org/prop/direct/P127,The Vanguard Group,http://www.wikidata.org/prop/direct/P1830,Amazon,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/entity/Q156238,http://www.wikidata.org/entity/Q3884
ExxonMobil,http://www.wikidata.org/prop/direct/P361,Dow Jones Industrial Average,http://www.wikidata.org/prop/direct/P527,Microsoft,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q156238,http://www.wikidata.org/entity/Q2283
ExxonMobil,http://www.wikidata.org/prop/direct/P361,S&P 500,http://www.wikidata.org/prop/direct/P527,Microsoft,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q156238,http://www.wikidata.org/entity/Q2283
ExxonMobil,http://www.wikidata.org/prop/direct/P127,The Vanguard Group,http://www.wikidata.org/prop/direct/P1830,Microsoft,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/entity/Q156238,http://www.wikidata.org/entity/Q2283
Cisco,http://www.wikidata.org/prop/direct/P361,Dow Jones Industrial Average,http://www.wikidata.org/prop/direct/P527,Microsoft,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q2283
Cisco,http://www.wikidata.org/prop/direct/P361,S&P 500,http://www.wikidata.org/prop/direct/P527,Microsoft,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q2283
Cisco,http://www.wikidata.org/prop/direct/P361,Nasdaq-100,http://www.wikidata.org/prop/direct/P527,Microsoft,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q2283
Cisco,http://www.wikidata.org/prop/direct/P463,Alliance for Open Media,http://www.wikidata.org/prop/direct/P112,Microsoft,http://www.wikidata.org/prop/direct/P463,http://www.wikidata.org/prop/direct/P112,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q2283
Cisco,http://www.wikidata.org/prop/direct/P463,Alliance for Open Media,http://www.wikidata.org/prop/direct/P527,Microsoft,http://www.wikidata.org/prop/direct/P463,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q2283
Cisco,http://www.wikidata.org/prop/direct/P127,The Vanguard Group,http://www.wikidata.org/prop/direct/P1830,Nvidia,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q182477
Nvidia,http://www.wikidata.org/prop/direct/P463,Alliance for Open Media,http://www.wikidata.org/prop/direct/P527,Adobe,http://www.wikidata.org/prop/direct/P463,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q182477,http://www.wikidata.org/entity/Q11463
JPMorgan Chase,http://www.wikidata.org/prop/direct/P127,The Vanguard Group,http://www.wikidata.org/prop/direct/P1830,Danaher Corporation,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/entity/Q192314,http://www.wikidata.org/entity/Q1159256
JPMorgan Chase,http://www.wikidata.org/prop/direct/P361,S&P 500,http://www.wikidata.org/prop/direct/P527,Accenture,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q192314,http://www.wikidata.org/entity/Q338825
Nvidia,http://www.wikidata.org/prop/direct/P127,The Vanguard Group,http://www.wikidata.org/prop/direct/P1830,Danaher Corporation,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/entity/Q182477,http://www.wikidata.org/entity/Q1159256
JPMorgan Chase,http://www.wikidata.org/prop/direct/P127,The Vanguard Group,http://www.wikidata.org/prop/direct/P1830,Gilead Sciences,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/entity/Q192314,http://www.wikidata.org/entity/Q663596
Nvidia,http://www.wikidata.org/prop/direct/P361,S&P 500,http://www.wikidata.org/prop/direct/P527,Accenture,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q182477,http://www.wikidata.org/entity/Q338825
Nvidia,http://www.wikidata.org/prop/direct/P127,The Vanguard Group,http://www.wikidata.org/prop/direct/P1830,Gilead Sciences,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/entity/Q182477,http://www.wikidata.org/entity/Q663596
Nvidia,http://www.wikidata.org/prop/direct/P127,The Vanguard Group,http://www.wikidata.org/prop/direct/P1830,Verizon Communications,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/entity/Q182477,http://www.wikidata.org/entity/Q467752
Nvidia,http://www.wikidata.org/prop/direct/P127,The Vanguard Group,http://www.wikidata.org/prop/direct/P1830,Intel Corporation,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/entity/Q182477,http://www.wikidata.org/entity/Q248
Nvidia,http://www.wikidata.org/prop/direct/P463,Alliance for Open Media,http://www.wikidata.org/prop/direct/P112,Intel Corporation,http://www.wikidata.org/prop/direct/P463,http://www.wikidata.org/prop/direct/P112,http://www.wikidata.org/entity/Q182477,http://www.wikidata.org/entity/Q248
Nvidia,http://www.wikidata.org/prop/direct/P463,Alliance for Open Media,http://www.wikidata.org/prop/direct/P527,Intel Corporation,http://www.wikidata.org/prop/direct/P463,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q182477,http://www.wikidata.org/entity/Q248
JPMorgan Chase,http://www.wikidata.org/prop/direct/P127,The Vanguard Group,http://www.wikidata.org/prop/direct/P1830,Verizon Communications,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/entity/Q192314,http://www.wikidata.org/entity/Q467752
